Process Name,PID,DLLs
ShellExperienceHost.exe,2252,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; combase.dll; ucrtbase.dll; RPCRT4.dll; OLEAUT32.dll; wincorlib.DLL; dxgi.dll; win32u.dll,; msvcp_win.dll; msvcrt.dll; gdi32.dll; gdi32full.dll; USER32.dll; IMM32.DLL; kernel.appcore.dll; bcryptPrimitives.dll; Windows.UI.Xaml.dll; sechost.dll; bcrypt.dll; ntmarta.dll; powrprof.dll; UMPDC.dll; iertutil.dll; advapi32.dll; netutils.dll; srvcli.dll; twinapi.appcore.dll; WinTypes.dll; shcore.dll; windows.staterepositorycore.dll; Windows.UI.dll; CoreMessaging.dll; OneCoreUAPCommonProxyStub.dll; uxtheme.dll; urlmon.dll; dxcore.dll; directxdatabasehelper.dll; d3d11.dll; aticfx64.dll; WINMM.dll; VERSION.dll; atiuxp64.dll; atidxx64.dll; SETUPAPI.dll; ole32.dll; SHELL32.dll; cfgmgr32.DLL; apphelp.dll; amdihk64.dll; SHLWAPI.dll; D3DSCache.dll; USERENV.dll; profext.dll; profapi.dll; d2d1.dll; dwrite.dll; TextShaping.dll; Windows.UI.QuickActions.dll; policymanager.dll; WindowsCodecs.dll; msvcp110_win.dll; QuickActionsDataModel.dll; Windows.UI.Shell.SharedUtilities.dll; NetworkUX.dll; MobileNetworking.dll; DevicesFlowUI.dll; Windows.UI.ActionCenter.dll; Microsoft.UI.Xaml.dll; Windows.Storage.ApplicationData.dll; MrmCoreR.dll; windows.storage.dll; windows.staterepositoryclient.dll; PROPSYS.dll; languageoverlayutil.dll; bcp47mrm.dll; msctf.dll; Windows.Shell.ServiceHostBuilder.dll; execmodelproxy.dll; CoreUIComponents.dll; RMCLIENT.dll; InputHost.dll; CRYPTBASE.DLL; UiaManager.dll; WindowManagementAPI.dll; windows.ui.core.textinput.dll; TextInputFramework.dll; Windows.UI.Immersive.dll; DataExchange.dll; Windows.UI.Xaml.Controls.dll; Bcp47Langs.dll; Windows.Globalization.dll; dcomp.dll; windowsudk.shellcommon.dll; XmlLite.dll; directmanipulation.dll; Windows.ApplicationModel.dll; Windows.Graphics.dll; wuceffects.dll; threadpoolwinrt.dll; dwmapi.dll; execmodelclient.dll; Windows.CloudStore.dll; usermgrcli.dll; SystemSettings.DataModel.dll; Windows.CloudStore.Schema.Shell.dll; Windows.Web.dll; ShellCommonCommonProxyStub.dll; usermgrproxy.dll; Windows.Energy.dll; cdp.dll; NInput.dll; audioses.dll; MMDevApi.dll; DEVOBJ.dll; AVRT.dll; resourcepolicyclient.dll; NotificationControllerPS.dll; WindowsInternal.ShellUI.dll; Windows.Globalization.Fontgroups.dll; fontgroupsoverride.dll; NotificationIntelligencePlatform.dll; dmiso8601utils.dll; msxml6.dll; windows.storage.onecore.dll; OneCoreCommonProxyStub.dll; SspiCli.dll; Windows.StateRepositoryPS.dll; pfclient.dll; msftedit.dll; globinputhost.dll; PhotoMetadataHandler.dll; RTMediaFrame.dll"
svchost.exe,2300,""
svchost.exe,2320,""
svchost.exe,2376,""
svchost.exe,2396,""
svchost.exe,2512,""
svchost.exe,2536,""
svchost.exe,2736,""
svchost.exe,2796,""
DAX3API.exe,2820,""
svchost.exe,2876,""
svchost.exe,2912,""
msedge.exe,2944,""
amdfendrsr.exe,3008,""
atiesrxx.exe,3016,""
svchost.exe,3024,""
svchost.exe,3120,""
svchost.exe,3128,""
ETDService.exe,3136,""
atieclxx.exe,3144,""
svchost.exe,3152,""
svchost.exe,3324,""
svchost.exe,3360,""
svchost.exe,3368,""
svchost.exe,3456,""
